name,iso,format,reciprocityProfileId,spectralSensitivity,purchaseUrl,positiveExposure,formatWidth,formatHeight
Adox CHS 100 II 35mm,100,35mm,1.25,panchromatic,,,, 
Adox CHS 100 II 120,100,120,1.25,panchromatic,,,,
Adox CMS 20 II 35mm,20,35mm,1.03,panchromatic,,,,
Adox CMS 20 II 120,20,120,1.03,panchromatic,,,,
Adox HR-50 35mm,50,35mm,1.10,panchromatic,,,,
Adox Silvermax 100 35mm,100,35mm,1.15,panchromatic,,,,
Bergger Pancro 400 35mm,400,35mm,1.30,panchromatic,,,,
Bergger Pancro 400 120,400,120,1.30,panchromatic,,,,
Bergger Pancro 400 4x5,400,4x5,1.30,panchromatic,,,,
Bergger Pancro 400 8x10,400,8x10,1.30,panchromatic,,,,
CineStill 50D 35mm,50,35mm,1.30,panchromatic,,,,
CineStill 50D 120,50,120,1.30,panchromatic,,,,
CineStill 400D 35mm,400,35mm,1.12,panchromatic,,,,
CineStill 400D 120,400,120,1.12,panchromatic,,,,
CineStill 400D 4x5,400,4x5,1.12,panchromatic,,,,
CineStill 800T 35mm,800,35mm,1.40,panchromatic,,,,
CineStill 800T 120,800,120,1.40,panchromatic,,,,
Ferrania P30 35mm,80,35mm,1.22,panchromatic,,,,
Ferrania P30 120,80,120,1.22,panchromatic,,,,
Ferrania P33 35mm,160,35mm,1.18,panchromatic,,,,
Flic Film Chrome (E100D) 35mm,100,35mm,1.05,panchromatic,,,,
Fomapan 100 35mm,100,35mm,1.35,panchromatic,,,,
Fomapan 100 120,100,120,1.35,panchromatic,,,,
Fomapan 100 4x5,100,4x5,1.35,panchromatic,,,,
Fomapan 100 8x10,100,8x10,1.35,panchromatic,,,,
Fomapan 200 35mm,200,35mm,1.65,panchromatic,,,,
Fomapan 200 120,200,120,1.65,panchromatic,,,,
Fomapan 200 4x5,200,4x5,1.65,panchromatic,,,,
Fomapan 200 8x10,200,8x10,1.65,panchromatic,,,,
Fomapan 400 35mm,400,35mm,1.38,panchromatic,,,,
Fomapan 400 120,400,120,1.38,panchromatic,,,,
Fomapan 400 4x5,400,4x5,1.38,panchromatic,,,,
Fomapan 400 8x10,400,8x10,1.38,panchromatic,,,,
Fujifilm Acros 100 II 35mm,100,35mm,acros,panchromatic,,,,
Fujifilm Acros 100 II 120,100,120,acros,panchromatic,,,,
Fujifilm Provia 100F 35mm,100,35mm,provia_100f,panchromatic,,,,
Fujifilm Provia 100F 120,100,120,provia_100f,panchromatic,,,,
Fujifilm Velvia 50 35mm,50,35mm,1.35,panchromatic,,,,
Fujifilm Velvia 50 120,50,120,1.35,panchromatic,,,,
Fujifilm Velvia 100 35mm,100,35mm,1.30,panchromatic,,,,
Fujifilm Velvia 100 120,100,120,1.30,panchromatic,,,,
Ilford Delta 100 35mm,100,35mm,1.26,panchromatic,,,,
Ilford Delta 100 120,100,120,1.26,panchromatic,,,,
Ilford Delta 100 4x5,100,4x5,1.26,panchromatic,,,,
Ilford Delta 100 8x10,100,8x10,1.26,panchromatic,,,,
Ilford Delta 400 35mm,400,35mm,1.41,panchromatic,,,,
Ilford Delta 400 120,400,120,1.41,panchromatic,,,,
Ilford Delta 400 4x5,400,4x5,1.41,panchromatic,,,,
Ilford Delta 400 8x10,400,8x10,1.41,panchromatic,,,,
Ilford Delta 3200 35mm,1000,35mm,1.33,panchromatic,,,,
Ilford Delta 3200 120,1000,120,1.33,panchromatic,,,,
Ilford FP4+ 35mm,125,35mm,1.26,panchromatic,,,,
Ilford FP4+ 120,125,120,1.26,panchromatic,,,,
Ilford FP4+ 4x5,125,4x5,1.26,panchromatic,,,,
Ilford FP4+ 8x10,125,8x10,1.26,panchromatic,,,,
Ilford HP5+ 35mm,400,35mm,1.31,panchromatic,,,,
Ilford HP5+ 120,400,120,1.31,panchromatic,,,,
Ilford HP5+ 4x5,400,4x5,1.31,panchromatic,,,,
Ilford HP5+ 8x10,400,8x10,1.31,panchromatic,,,,
Ilford Pan F Plus 35mm,50,35mm,1.33,panchromatic,,,,
Ilford Pan F Plus 120,50,120,1.33,panchromatic,,,,
Ilford SFX 200 35mm,200,35mm,1.30,panchromatic,,,,
Ilford SFX 200 120,200,120,1.30,panchromatic,,,,
Instax Mini,800,instax mini,1.20,panchromatic,,,,
Instax Wide,800,instax wide,1.20,panchromatic,,,,
Instax Square,800,instax square,1.20,panchromatic,,,,
Kodak ColorPlus 200 35mm,200,35mm,1.35,panchromatic,,,,
Kodak Double-X 35mm,250,35mm,1.30,panchromatic,,,,
Kodak Double-X 120,250,120,1.30,panchromatic,,,,
Kodak Ektachrome E100 35mm,100,35mm,1.28,panchromatic,,,,
